Route,Score,End,End Exit Volume,Start,End Clean
"['Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Oxford Circus', 'Tottenham Court Road', 'Bond Street', '[TRANSFER→]Green Park']",588640.680517872,Bond Street,65259.91811015903,Victoria LU,Bond Street
"['South Kensington', 'Sloane Square', 'Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Oxford Circus', 'Bond Street']",587906.7201574035,Bond Street,65259.91811015903,South Kensington,Bond Street
"['Tottenham Court Road', 'Bond Street', '[TRANSFER→]Green Park', '[TRANSFER→]Victoria LU', 'Sloane Square', 'Victoria LU']",587906.7201574035,Victoria LU,86723.86782461665,Tottenham Court Road,Victoria LU
"['North Greenwich', 'Canning Town', '[TRANSFER→]West Ham', 'Abbey Road', 'Stratford High Street', 'Stratford']",587797.800019123,Stratford,92594.97009758174,North Greenwich,Stratford
"['Stratford', '[TRANSFER→]Mile End', 'Bethnal Green LU', 'Liverpool Street LU', '[TRANSFER→]Moorgate', 'Bank and Monument']",587755.3428498873,Bank and Monument,54480.33995698597,Stratford,Bank and Monument
"['Stratford', '[TRANSFER→]Mile End', 'Bethnal Green LU', 'Liverpool Street LU', 'Bank and Monument', '[TRANSFER→]Shadwell DLR']",587755.3428498873,Bank and Monument,54480.33995698597,Stratford,Bank and Monument
"['Paddington TfL', 'Edgware Road (Bak)', 'Marylebone LU', 'Baker Street', '[TRANSFER→]Bond Street', 'Tottenham Court Road']",586881.3735882482,Tottenham Court Road,101119.98339478439,Paddington TfL,Tottenham Court Road
"['Paddington TfL', 'Edgware Road (DIS)', 'Baker Street', '[TRANSFER→]Bond Street', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus']",586793.9481024969,Tottenham Court Road,101119.98339478439,Paddington TfL,Tottenham Court Road
"['Liverpool Street LU', 'Farringdon', ""[TRANSFER→]King's Cross St. Pancras"", 'Angel', ""King's Cross St. Pancras"", '[TRANSFER→]Highbury & Islington']",586711.3509562061,King's Cross St. Pancras,122827.76544140621,Liverpool Street LU,King's Cross St. Pancras
"['London Bridge LU', 'Bank and Monument', 'Moorgate', 'Barbican', 'Farringdon', ""[TRANSFER→]King's Cross St. Pancras""]",586346.4815931097,Farringdon,64227.32263564517,London Bridge LU,Farringdon
"['Waterloo LU', 'Bank and Monument', 'Moorgate', 'Barbican', 'Farringdon', '[TRANSFER→]Tottenham Court Road']",586346.4815931097,Farringdon,64227.32263564517,Waterloo LU,Farringdon
"['London Bridge LU', 'Bank and Monument', 'Moorgate', 'Barbican', 'Farringdon', '[TRANSFER→]Tottenham Court Road']",586346.4815931097,Farringdon,64227.32263564517,London Bridge LU,Farringdon
"['South Kensington', 'Sloane Square', 'Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Westminster', 'Waterloo LU']",584746.9467030115,Waterloo LU,93112.82099030414,South Kensington,Waterloo LU
"['Leicester Square', 'Piccadilly Circus', 'Green Park', '[TRANSFER→]Bond Street', '[TRANSFER→]Oxford Circus', 'Bond Street']",584042.9681434901,Bond Street,65259.91811015903,Leicester Square,Bond Street
"['Leicester Square', 'Piccadilly Circus', 'Green Park', 'Bond Street', '[TRANSFER→]Paddington TfL', '[TRANSFER→]Edgware Road (Bak)']",584042.9681434901,Bond Street,65259.91811015903,Leicester Square,Bond Street
"['Paddington TfL', 'Bond Street', '[TRANSFER→]Oxford Circus', 'Piccadilly Circus', 'Green Park', '[TRANSFER→]Victoria LU']",584042.96814349,Green Park,50979.93327935799,Paddington TfL,Green Park
